Location,Ontario producer,LCBO convenience outlet,Authorized to sell beer,Authorized to sell wine,Authorized to sell cider,Authorized to sell spirits,Authorized to sell ready-to-drink,Accepts empties,Bottle return only,Address,City/Town,Postal code,Latitude,Longitude
Albion Smoke and Gift Shop,N,N,Y,Y,Y,N,Y,N,N,361 Albion Road,Etobicoke,M9W3P3,43.72491,-79.5508
Alburaq Jarvis Variety Store,N,N,Y,Y,Y,N,Y,N,N,2 Talbot Street West,Jarvis,N0A1J0,42.8847998,-80.1142906
Aleksander Estate Winery,Y,N,N,Y,Y,N,N,N,N,1542 County Road 34 RR 2,Ruthven,N0P2G0,42.07055827,-82.66966953
Alex Convenience,N,N,Y,Y,Y,N,Y,N,N,3344 Yonge Street,Toronto,M4N2M4,43.7317193,-79.4042178
Alex Farm Products,N,N,Y,Y,Y,N,Y,N,N,1965 Queen Street East,Toronto,M4L1H9,43.6694883,-79.3016128
Alfies Variety,N,N,Y,Y,Y,N,Y,N,N,201 Cundles Road East,Barrie,L4M4S5,44.4115162,-79.6867809
Alfin Convenience,N,N,Y,Y,Y,N,Y,N,N,405 Erie Street West,Windsor,N9A6C1,42.30729,-83.0378
Algoma Highlands Winery,Y,N,N,Y,Y,N,N,N,N,1 Pinewood Drive,Wawa,P0S1K0,47.96067838,-84.797195
Alice General Store,N,Y,Y,Y,Y,Y,Y,Y,N,10679 Round Lake Road,Pembroke,K8A0K7,45.78447874,-77.2220055
All Fresh Grocery Store,N,N,Y,Y,Y,N,Y,N,N,5920 Turney Drive,Mississauga,L5M2R8,43.5804129,-79.727422
All In 1 Convenience,N,N,Y,Y,Y,N,Y,N,N,361 King Avenue East,Newcastle,L1B1H4,43.91911,-78.5811
All In One Convenience,N,N,Y,Y,Y,N,Y,N,N,1128 Baltic Lane,Pickering,L1X0G9,43.87039,-79.11181
All In One Convenience,N,N,Y,Y,Y,N,Y,N,N,152 Park Road South,Oshawa,L1J4H2,43.89122,-78.8718
All My Friends Beer,Y,N,Y,N,Y,N,N,N,N,8 Stanley Street,Bloomfield,K0K1G0,43.98442367,-77.23247253
All or Nothing Brewhouse,Y,N,Y,N,Y,N,N,N,N,439 Ritson Road South,Oshawa,L1H5J8,43.88909424,-78.84804269
