Location,Ontario producer,LCBO convenience outlet,Authorized to sell beer,Authorized to sell wine,Authorized to sell cider,Authorized to sell spirits,Authorized to sell ready-to-drink,Accepts empties,Bottle return only,Address,City/Town,Postal code,Latitude,Longitude
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1816 Rymal Road East,Hannon,L0R1P0,43.182373,-79.819031
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1837 Main Street West,Hamilton,L8S1H6,43.25229,-79.9391
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,75 Main Street East,Grand Bend,N0M1T0,43.30887,-81.7486
Ultramar Gas and Convenience Store,N,Y,Y,Y,Y,Y,Y,Y,N,311 Brock Road South,Guelph,N0B2J0,43.45625332,-80.12954322
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,136 Weber Street South,Waterloo,N2J2A8,43.46527,-80.5046
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1417 Lakeshore Road East,Mississauga,L5E1G7,43.585715,-79.550241
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,5979 Shawson Drive,Mississauga,L4W3Y2,43.64848,-79.6547
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1762 Dundas Street West,Toronto,M6K1V6,43.65046,-79.4403
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1520 Courtneypark Drive East,Mississauga,L5T2C7,43.66346,-79.6574
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,637 Vaughan Road,York,M6E2Y4,43.6929841,-79.4412089
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,3220 Kingston Road,Scarborough,M1M1P4,43.73105,-79.2265
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,39977 Blyth Road,Blyth,N0M1H0,43.7311,-81.4342
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,920 Albion Road,Etobicoke,M9V1A4,43.73543,-79.5608
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,2956 Queen Street East,Brampton,L6S5Y1,43.743,-79.6975
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,2316 Finch Avenue West,North York,M9M2C6,43.75244,-79.5421
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,305 Fogal Road,Brampton,L6P4R2,43.77329,-79.6529
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,280 Main Street,Erin,N0B1T0,43.7793394,-80.076572
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,98 Island Road,Scarborough,M1C2P5,43.79833,-79.1394
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,16544 Hurontario Street,Caledon Village,L7K1W3,43.8233774,-79.9465451
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,2268 Rutherford Road,Concord,L4K2N8,43.83674,-79.509
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,150 Consumers Drive,Whitby,L1N9S3,43.86891,-78.9297
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,202373 County Road 109,Grand Valley,L9W0R1,43.87497,-80.3096
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,515 Riddell Road,Orangeville,L9W5L1,43.90201,-80.121
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1818 Simcoe Street North,Oshawa,L1G4Y3,43.94328,-78.8898
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,49 Winchester Road West,Whitby,L1M2B5,43.9519485,-78.9670616
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,737 Campbell Street,Lucknow,N0G2H0,43.96327,-81.5202
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,6875 Baldwin Street North,Whitby,L1M1Y1,43.97084,-78.9595
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,2211 County Road 28,Port Hope,L1A3V8,43.97271,-78.2873
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,10 Norman Jones Place,Stouffville,L4A0W7,43.97454,-79.2819
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,15255 Leslie Street,Aurora,L4G7C7,44.01138,-79.4182
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,301 Big Apple Drive Rr 3,Colborne,K0K1S0,44.02004,-77.9015
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,47 Queen Street South,Tottenham,L0G1W0,44.02044,-79.8049
Ultramar Gas and Convenience Store,N,Y,Y,Y,Y,Y,Y,Y,N,5267 Aurora Road,Stouffville,L4A3H1,44.03783611,-79.29667481
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,517 Main Street East,Shelburne,L9V2Z1,44.0798623,-80.1954201
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,15829 Simcoe Street,Port Perry,L9L1N5,44.10977,-78.9496
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,944A Wooler Road,Trenton,K8V5P4,44.11151,-77.5998
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,19659 Leslie Street,Sharon,L0G1V0,44.11819,-79.4448
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,110 Highway 33,Trenton,K8V5P6,44.12043,-77.5942
Ultramar Gas and Convenience Store,N,Y,Y,Y,Y,Y,Y,Y,N,1560 Old Highway 2,Belleville,K8N4Z2,44.12860378,-77.4574204
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,5949 Highway 89,Cookstown,L0L1L0,44.16885,-79.7986
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,190 Garafraxa Street South,Durham,N0G1R0,44.17459,-80.8183
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,25 Bellevue Drive,Belleville,K8N4Z5,44.18157,-77.4468
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,2460 Yonge Street,Gilford,L0L1R0,44.18839,-79.5832
Ultramar Gas and Convenience Store,N,Y,Y,Y,Y,Y,Y,Y,N,923 Highway 7A,Cavan,L0A1C0,44.19948593,-78.46848538
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,2231 On-89,Innisfil,L0L1L0,44.2009861,-79.6525418
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1156A Highway 37,Corbyville,K0K1V0,44.24169,-77.3807
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,4037 Bath Road,Kingston,K7M4Y5,44.24198,-76.6093
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1482 Lansdowne Street West,Peterborough,K9J2A2,44.2784,-78.3617
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,100 East Front Street,Sterling,K0K3E0,44.2976379,-77.543837
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,949 Highway 7,Otonabee,K9J6X8,44.29844,-78.2613
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,94 Bridge Street South,Hastings,K0L1Y0,44.30358,-77.9541
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1274 Highway 7,Keene,K9J0G6,44.30853,-78.2334
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,3 Highway 7,Manilla,K0M2J0,44.30895,-78.9887
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,28332 Highway 48,Prefferlaw,L0E1N0,44.31683,-79.2781
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,375 Mapleview Drive West,Barrie,L4N9G4,44.32829,-79.7156
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,90 Mapleview Drive East,Barrie,L4N0L1,44.33719,-79.6793
Ultramar Gas and Convenience Store,N,Y,Y,Y,Y,Y,Y,Y,N,794047 Simcoe County Road 124,Singhampton,N0C1M0,44.34555104,-80.24972586
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1535 Water Street,Peterborough,K9H0C6,44.35152,-78.3005
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,306 Highway 36,Lindsay,K9V4R4,44.35955,-78.718
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,170 Burton Avenue,Barrie,L4N2S1,44.37123,-79.6805
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,71 Anne Street South,Barrie,L4N2E2,44.37784,-79.7005
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,4183 Highway 7,Norwood,K0L2V0,44.37789,-77.9839
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,866 Ward Street,Bridgenorth,K0L1H0,44.38234,-78.3843
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,3343 Lakefield Road,Lakefield,K0L2H0,44.41933,-78.2837
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,7117 Highway 26,Stayner,L0M1S0,44.42171,-80.0786
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,11 Beaver Avenue,Beaverton,L0K1A0,44.42853,-79.1259
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1706 County Road 36,Dunsford,K0M1L0,44.44576,-78.6647
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,314 Highway 15,Seeley's Bay,K0H2N0,44.48656,-76.1939
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,10150 Highway 26,Collingwood,L9Y3Z1,44.49967,-80.1899
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,4103 Highway 28,Lakefield,K0L2H0,44.50728,-78.2163
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,114 Bonjour Boulevard,Madoc,K0K2K0,44.51256,-77.4809
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,157 Lindsay Street,Fenelon Falls,K0M1N0,44.52882,-78.7412
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,50 King Street East,Bobcaygeon,K0M1A0,44.53660427,-78.5407064
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,354 Sykes Street North,Meaford,N4L1J4,44.61429,-80.598
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,110 Prescott Centre Drive,Prescott,K0E1T0,44.72174,-75.523
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,859 Yonge Street,Midland,L4R2E8,44.74042,-79.8976
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,9340 County Road 93,Midland,L4R4K4,44.7407222,-79.9157511
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,798 Kawartha Lakes Road 121,Fenelon Falls,K0M1N0,44.79299,-78.659
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,2303 Highway 11 South,Gravenhurst,P1P1R1,44.8849,-79.3474
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,12456 County Road 2,Morrisburg,K0C1X0,44.90346,-75.177
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,89 Dufferin Street,Perth,K7H3A5,44.90761,-76.2686
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,2780 County Road 43,Kemptville,K0G1J0,45.02308,-75.649
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,439 Thirteenth Street West,Cornwall,K6J3H7,45.030124,-74.7512257
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1950 McConnell Avenue,Cornwall,K6H5R6,45.049369,-74.7373989
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1652 Roger Stevens Drive,Kars,K0A2E0,45.15556,-75.6583
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,21 Greer Road,Port Sydney,P0B1L0,45.19657,-79.3123
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,3990 Prince of Wales Drive,Nepean,K2C3H2,45.24045026,-75.71272969
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1626 Stittsville Main Street,Stittsville,K2S1A5,45.25450502,-75.91644839
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1044 Saint Guillaume Road,Embrun,K0A1W1,45.27058,-75.3119
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,5943 Hazeldean Road,Stittsville,K2S1B9,45.27614,-75.9236
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,225 Huntmar Drive,Stittsville,K2S1B9,45.29418,-75.9279
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,480 Hazeldean Road,Kanata,K2L1V4,45.2967,-75.8896
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,9100 Highway 11,Huntsville,P1H2H8,45.30019,-79.2565
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,992 Burton Road,Vars,K0A3H0,45.33119,-75.3465
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,401 March Road,Kanata,K2K0K1,45.3376,-75.9116
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,3467 Hawthorne Road,Ottawa,K1G4G2,45.37478,-75.597
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,4755 Ste Catherine Street,St. Isidore,K0C2B0,45.375845,-74.9019777
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,3199 Hawthorne Road,Ottawa,K1G3V8,45.38306,-75.6009
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,85 Madawaska Boulevard,Arnprior,K7S3K1,45.43352,-76.3463
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1797 St. Joseph Boulevard,Orleans,K1C7C6,45.4618294,-75.5484543
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,19272 Highway 60,Barry's Bay,K0J1B0,45.49033,-77.6605
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,2749 Laurier Street,Rockland,K4K1A3,45.5414,-75.3009
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,370 Mcgill Street,Hawkesbury,K6A1R2,45.6072,-74.6151
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1725 County Road 4,L'Orignal,K0B1K0,45.6218714,-74.64165622
Ultramar Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1271 Pembroke Street West,Pembroke,K8A5R3,45.83397,-77.1503
Unboxed Market,N,N,Y,Y,Y,N,Y,N,N,1263 Dundas Street West,Toronto,M6J1X6,43.64924,-79.4244
Uncle Seth Tropical Foods,N,N,Y,Y,Y,N,Y,N,N,2069 Lawrence Avenue East,Scarborough,M1R2Z4,43.74519,-79.2937
Underprice Convenience Stores,N,N,Y,Y,Y,N,Y,N,N,166A Spadina Avenue,Toronto,M5T2C2,43.64893,-79.3967
Uni Market + Convenience,N,N,Y,Y,Y,N,Y,N,N,573 Maple Avenue,Burlington,L7S2E8,43.32229,-79.8077
Unico Convenience,N,N,Y,Y,Y,N,Y,N,N,467 Silverthorn Avenue,York,M6M3H6,43.68731,-79.4666
Union Mini Mart,N,N,Y,Y,Y,N,Y,N,N,121 Union Street East,Waterloo,N2J1C4,43.46316,-80.5105
Union Street Variety,N,N,Y,Y,Y,N,Y,N,N,63 Union Street,Picton,K0K2T0,44.0077487,-77.1329143
Union Ten Distilling Company,Y,N,N,N,N,Y,N,N,N,656 Dundas Street,London,N5W2Y8,42.98958253,-81.23005324
Unique Convenience,N,N,Y,Y,Y,N,Y,N,N,3845 Dougall Avenue,Windsor,N9G1X3,42.25628,-83.0036
Unique Gifts & Convenience,N,N,Y,Y,Y,N,Y,N,N,100 Front Street West,Toronto,M5J1E3,43.6460393,-79.381385
Unique Gifts & Convenience,N,N,Y,Y,Y,N,Y,N,N,2 Roper Road,Scarborough,M1L0G6,43.71433,-79.2818
United Craft & Niagara Falls Craft Distillers,Y,N,Y,N,N,Y,N,N,N,8699 Stanley Avenue,Niagara Falls,L2G0E1,43.05033532,-79.08505348
United Food Mart,N,N,Y,Y,Y,N,Y,N,N,2180 Credit Valley Road,Mississauga,L5M3C9,43.55711,-79.7008
United Supermarket,N,N,Y,Y,Y,N,Y,N,N,1062 Adelaide Street North,London,N5Y2N1,43.0093777,-81.2407829
University Convenience,N,N,Y,Y,Y,N,Y,N,N,170 University Avenue West,Waterloo,N2L3E9,43.47267889,-80.5379167
"Uno Stop Convenience, Postal And Vape Store",N,N,Y,Y,Y,N,Y,N,N,1447 Upper Ottawa Street,Hamilton,L8W3J6,43.19599,-79.8409
Up Town News,N,N,Y,Y,Y,N,Y,N,N,100 Christina Street South,Sarnia,N7T2M6,42.97072,-82.4077
Upi Gas and C-store,N,N,Y,Y,Y,N,Y,N,N,1212 King Street North,St. Jacobs,N0B2N0,43.53112,-80.5546
Upper Canada Cheese Co,N,N,Y,Y,Y,N,Y,N,N,4159 Jordan Road,Jordan Station,L0R1S0,43.163972,-79.3598
Upper Thames Brewing Company,Y,N,Y,N,Y,N,N,N,N,225 Bysham Park Drive,Woodstock,N4T1P1,43.14728719,-80.76985974
Upper Village Market & Bakery,N,N,Y,Y,Y,N,Y,N,N,900 Fairway Cresent,Kitchener,N2A0A1,43.44252,-80.415
Upsala General Store,N,Y,Y,Y,Y,Y,Y,Y,N,4892 Highway 17 GD,Upsala,P0T2Y0,49.0454114,-90.4697094
Urban Lane,N,N,Y,Y,Y,N,Y,N,N,50 Rideau Street,Ottawa,K1N9J7,45.4252741,-75.6929843
Urban Mart,N,N,Y,Y,Y,N,Y,N,N,1888 Kennedy Road,Scarborough,M1P2L8,43.76652,-79.2817
Urban Tractor Farm Winery,Y,N,N,Y,Y,N,N,N,N,3858 Konkle Road,Beamsville,L0R1B2,43.14481355,-79.50234196
Ure's Country Kitchen & Variety Inc,N,N,Y,Y,Y,N,Y,N,N,6000 County Road 20,Harrow,N0R1G0,42.05996,-83.0364
Urla Fine Foods,N,N,Y,Y,Y,N,Y,N,N,77 Samor Road,North York,M6A1J2,43.7167046,-79.4622418
V.P. St. Clair Lucky Lotto And Convenience,N,N,Y,Y,Y,N,Y,N,N,1103 Victoria Park Avenue,Scarborough,M4B2K2,43.7084066,-79.295601
Valentia General Store,N,Y,Y,Y,Y,Y,Y,Y,N,100 Elm Tree Road,Little Britain,K0M2C0,44.24675552,-78.80316353
Valentino's Italian Food Market,N,N,Y,Y,Y,N,Y,N,N,242 Pelham Road,St. Catharines,L2S1X9,43.13219,-79.2564
Valley Farm Variety,N,N,Y,Y,Y,N,Y,N,N,1472 Huron Street,London,N5V2E5,43.02341,-81.2054
Valley Foods,N,Y,Y,Y,Y,Y,Y,Y,N,4591 Oliver Road,Murillo,P0T2G0,48.41287282,-89.50421327
Valley Market,N,N,Y,Y,Y,N,Y,N,N,80 Pertosa Drive,Brampton,L6X5E9,43.6816,-79.8049
Valley Variety,N,N,Y,Y,Y,N,Y,N,N,5982 Plank Road,Vienna,N0J1Z0,42.67384,-80.7897
Valleywood Tuckshop,N,N,Y,Y,Y,N,Y,N,N,29 Valley Woods Road,North York,M3A2R4,43.75396,-79.332909
Valu-Mart,N,N,Y,Y,Y,N,Y,N,N,612 Main Street,Sauble Beach,N0H2G0,44.62936,-81.2623
Valu-Mart,N,N,Y,Y,Y,N,Y,N,N,Highway 35 & Water Street South,Minden,K0M2K0,44.93177835,-78.71373317
Valu-Mart,N,Y,Y,Y,Y,Y,Y,Y,N,30 Main Street West,Dowling,P0M1R0,46.58715302,-81.33482434
Valu-Mart,N,N,Y,Y,Y,N,Y,N,N,320 Main Street,Iroquois Falls,P0K1G0,48.7584795,-80.6874403
Vanhout Variety Store,N,N,Y,Y,Y,N,Y,N,N,87 Ontario Street,Bowmanville,L1C2T2,43.90821,-78.6821
Vanier Food Mart,N,N,Y,Y,Y,N,Y,N,N,101 Lavergne Street,Vanier,K1L5E6,45.443111,-75.6652532
Vani's Convenience,N,N,Y,Y,Y,N,Y,N,N,55 Mountainash Road,Brampton,L6R1W4,43.76002,-79.7308
Vankleek Hill Vineyard,Y,N,N,Y,Y,N,N,N,N,3725 County Road 12,Vankleek Hill,K0B1R0,45.53910578,-74.5500537
Variety & More,N,N,Y,Y,Y,N,Y,N,N,336 Yonge Street,Barrie,L4N4C8,44.3689407,-79.6673575
Variety Food Choice,N,N,Y,Y,Y,N,Y,N,N,131 Eastchester Avenue,St. Catharines,L2P2Y9,43.16457,-79.2176
Variety Mart and Gift,N,N,Y,Y,Y,N,Y,N,N,725 Davis Drive,Newmarket,L3Y2R2,44.06265,-79.4477
Variety Northview Mart,N,N,Y,Y,Y,N,Y,N,N,10635 Creditview Road,Brampton,L7A0T4,43.68997,-79.8354
Variety Pak,N,N,Y,Y,Y,N,Y,N,N,564 Queen Street,Chatham,N7M2J6,42.39339,-82.1739
Variety Plus,N,N,Y,Y,Y,N,Y,N,N,4909 Bathurst Street,North York,M2R1X8,43.77325,-79.4418
Variety Plus,N,N,Y,Y,Y,N,Y,N,N,2943 Major Mackenzie Drive West,Maple,L6A3N9,43.84882,-79.5345
Variety Smoke and Gift Shop,N,N,Y,Y,Y,N,Y,N,N,140 Woodbridge Avenue,Woodbridge,L4L4K9,43.78492,-79.5931
Variety Store,N,N,Y,Y,Y,N,Y,N,N,1251 St. Clair Avenue West,Toronto,M6E1B8,43.6770518,-79.4461146
Variety World,N,N,Y,Y,Y,N,Y,N,N,401 Dundas Street,Woodstock,N4S1B8,43.1298067,-80.7599163
Vats Shop,N,N,Y,Y,Y,N,Y,N,N,2855 Markham Road,Scarborough,M1X0C3,43.8237434,-79.2472577
Vedika Foods Of Kitchener Waterloo,N,N,Y,Y,Y,N,Y,N,N,2399 Kingsway Drive,Kitchener,N2C1A5,43.4329317,-80.4485302
Veens Bros Market,N,N,Y,Y,Y,N,Y,N,N,121 Main Street,Thedford,N0M2N0,43.164497,-81.8535603
Vege Fruit Mart,N,N,Y,Y,Y,N,Y,N,N,2005 Dufferin Street,York,M6E3P9,43.685522,-79.445764
Vencie City Convenience,N,N,Y,Y,Y,N,Y,N,N,364 Queen Street South,Bolton,L7E4Z8,43.87196,-79.7288
Venice Convenience,N,N,Y,Y,Y,N,Y,N,N,372 Highway 7,Richmond Hill,L4B0C6,43.8422275,-79.3949777
Venti Venti,N,N,Y,Y,Y,N,Y,N,N,16 Louisa Street East,Thornbury,N0H2P0,44.56068,-80.4528
Verna Convenience,N,N,Y,Y,Y,N,Y,N,N,701 Rossland Road East,Whitby,L1N8Y9,43.89943,-78.9389
Vernon Variety,N,Y,Y,Y,Y,Y,Y,Y,N,8717 Bank Street,Vernon,K0A3J0,45.16229251,-75.46239797
Verona Convenience Pizza And Sub,N,N,Y,Y,Y,N,Y,N,N,6667 38 Highway,Verona,K0H2W0,44.47948,-76.6948
VG Last Stop,N,Y,Y,Y,Y,Y,Y,Y,N,590 Rue Principale,Val Gagne,P0K1W0,48.61735872,-80.6387667
Viaa Convenience Store & Smoke Shop,N,N,Y,Y,Y,N,Y,N,N,1077 Wilson Avenue,North York,M3K1G7,43.72696,-79.4804
Vicky & Mom's,N,N,Y,Y,Y,N,Y,N,N,9000 Weston Road,Woodbridge,L4L1A6,43.82127,-79.556
Vicky's Convenience,N,N,Y,Y,Y,N,Y,N,N,205 Marycroft Avenue,Woodbridge,L4L5X8,43.7846133,-79.5652696
Vicora Tuck Shop,N,N,Y,Y,Y,N,Y,N,N,75 Pavane Linkway,North York,M3C0C4,43.71119,-79.324
Vic's Variety,N,N,Y,Y,Y,N,Y,N,N,215 Grand River Avenue,Brantford,N3T4Y3,43.14149,-80.2854
Victoria & Maple Variety Inc.,N,N,Y,Y,Y,N,Y,N,N,4623 Victoria Avenue,Niagara Falls,L2E4B5,43.1072,-79.0735
Victoria Convenience,N,N,Y,Y,Y,N,Y,N,N,113 Victoria Avenue,Belleville,K8N2A7,44.1679756,-77.3782125
Victoria Mart,N,N,Y,Y,Y,N,Y,N,N,202 Victoria Street East,Alliston,L9R1K6,44.15622,-79.8602
Victoria Street Market,N,N,Y,Y,Y,N,Y,N,N,1575 Victoria Street North,Kitchener,N2B3E6,43.472901,-80.4362197
Victoria Variety,N,N,Y,Y,Y,N,Y,N,N,224 Glenridge Avenue,St. Catherines,L2T3J9,43.14216626,-79.24017368
Victoria Variety,N,N,Y,Y,Y,N,Y,N,N,44 Victoria Street,Toronto,M5C1Y2,43.65039,-79.3773
Victoria Whole Foods,N,N,Y,Y,Y,N,Y,N,N,1450 Gerrard Street East,Toronto,M4L1Z8,43.672642,-79.3214039
Vidal Variety,N,N,Y,Y,Y,N,Y,N,N,277 Vidal Street South,Sarnia,N7T2T8,42.96461,-82.4063
Video 99 & Convenience,N,N,Y,Y,Y,N,Y,N,N,472 Queen Street East,St. Marys,N4X1B2,43.26065943,-81.1295904
Video 99 & Convenience,N,N,Y,Y,Y,N,Y,N,N,9555 Yonge Street,Richmond Hill,L4C9M5,43.85939,-79.4336
Video and Variety Store,N,N,Y,Y,Y,N,Y,N,N,182 Main Street North,Uxbridge,L9P1C5,44.11537,-79.1237
Vieni Estates,Y,N,N,Y,Y,Y,N,N,N,4553 Fly Road,Beamsville,L0R1B2,43.13582719,-79.45163657
Viewpointe Estate Winery,Y,N,N,Y,Y,N,N,N,N,151 County Road 50 East,Harrow,N0R1G0,41.98277657,-82.91706852
Vignoble Clos Du Vully,Y,N,N,Y,Y,N,N,N,N,2501 Magladry Road,Navan,K4B0H3,45.41104254,-75.34982074
Vigs Convenience Store,N,N,Y,Y,Y,N,Y,N,N,8824 Highway 17,Warren,P0H2N0,46.44182,-80.3114
Vikash's Canadian Superstore Inc.,N,N,Y,Y,Y,N,Y,N,N,1147 Bellamy Road North,Scarborough,M1H1H6,43.77856,-79.241
Villa Bacchus Winery,Y,N,N,Y,Y,N,N,N,N,564 Kemp Road East,Beamsville,L0R 1B6,43.15227931,-79.51492517
Villa Convenience,N,N,Y,Y,Y,N,Y,N,N,9750 Weston Road,Woodbridge,L4H2Z7,43.83839,-79.5595
Villa Romana Estate Winery Inc,Y,N,N,Y,Y,N,N,N,N,4746 King Street,Beamsville,L0R1B1,43.16092531,-79.4631139
Village Country Store,N,N,Y,Y,Y,N,Y,N,N,60 County Road 50,Harrow,N0R1G0,41.9865,-82.9313
Village Discount & Variety,N,N,Y,Y,Y,N,Y,N,N,192 Queen Street,Eganville,K0J1T0,45.53753,-77.1002
Village Gate Variety Plus,N,N,Y,Y,Y,N,Y,N,N,101 East Street South,Bobcaygeon,K0M1A0,44.5394871,-78.5399265
Village General Store,N,N,Y,Y,Y,N,Y,N,N,1100 17 Highway West,Iron Bridge,P0R1H0,46.27853,-83.2226
Village Green Convenience,N,N,Y,Y,Y,N,Y,N,N,125 Village Green Square,Scarborough,M1S0G3,43.77752,-79.2812
